instance_id,city_id,cluster_pattern,scale,instance_seed,lower_bound,upper_bound,gap,status,bks_technicians,bks_travel_time_min,bks_waiting_time_min,method,run_seed,source_run_seeds,validator_status,solution_file,solution_sha256,dataset_release,source_reference_batch
GISB-CKG-CU-100-S034,CKG,CU,100,34,1,1,0,K-OPT,1,902.304417,95.453703,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CU-100-S034_solution.csv,0b9ecbb9d0e58ae99b7379254fda8f7aab6ff1b92b33e44733f9b3e8e0bbbe5b,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-100-S056,CKG,CU,100,56,1,1,0,K-OPT,1,693.311775,51.841283,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CU-100-S056_solution.csv,4010dd4fe8c2703304960118a250e2d8c55fc02c45766d186aac6518a09bdcee,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-100-S078,CKG,CU,100,78,1,1,0,K-OPT,1,817.836435,6.35698,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CU-100-S078_solution.csv,5566186fd235956832600a186b71112ad1a688aa55b2e169421342feac36330a,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-100-S090,CKG,CU,100,90,1,1,0,K-OPT,1,760.519156,0.552237,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CU-100-S090_solution.csv,56f254a5a7152e4a94e7909926ca8344e6518f7050676d3890ef862b9e1651a6,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-1000-S012,CKG,CU,1000,12,5,7,2,K-OPEN,7,12025.047003,173.068476,IGA,101.0,101,PASS,solutions/GISB-CKG-CU-1000-S012_solution.csv,02cbb6cad29fb43271a755a451d174ede50f3a8278bcd1f7fb85aa412a96a595,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-1000-S034,CKG,CU,1000,34,5,7,2,K-OPEN,7,12046.662381,62.096007,IGA,202.0,202,PASS,solutions/GISB-CKG-CU-1000-S034_solution.csv,83ad3f61554c800c7da79507b849be87d6a52e9d3ea294f4ff29bc0ab7425f34,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-1000-S056,CKG,CU,1000,56,5,7,2,K-OPEN,7,12479.879103,216.68132,IGA,303.0,303,PASS,solutions/GISB-CKG-CU-1000-S056_solution.csv,5965c9140b8e5b7df3dd91ded16afb7bbfe9b4853734e5067103e33875c00688,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-1000-S078,CKG,CU,1000,78,5,7,2,K-OPEN,7,12490.889929,1689.986189,IGA,202.0,202,PASS,solutions/GISB-CKG-CU-1000-S078_solution.csv,29e9bc45d66ba6e5122e7c21bfad977f9baf7aff104c91802530fd1aa5249bb1,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-1000-S090,CKG,CU,1000,90,5,7,2,K-OPEN,7,12837.480676,173.433302,IGA,404.0,404,PASS,solutions/GISB-CKG-CU-1000-S090_solution.csv,32d6ddef232dbcd77417d081043bf04869c76b6588d0faf98712f238d8e73a03,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-500-S012,CKG,CU,500,12,3,4,1,K-OPEN,4,6641.69934,65.771742,IGA,202.0,202,PASS,solutions/GISB-CKG-CU-500-S012_solution.csv,9e66b10407bc1589b21d664488d4792c941e04942d3c8b6ecadd47fb2eb1bec9,GIS-B-ME-v1.0,20260909_reference_after_small45
