city_code,building_anchor_id,legacy_building_id,building_osm_id,geometry_hausdorff_degrees
BJS,B00103,way/20487,way/764531334,1.5888218580782548e-14
BJS,B00104,way/20604,way/764531540,7.105427357601002e-15
BJS,B00105,way/21184,way/764625758,7.105427357601002e-15
BJS,B00106,way/16374,way/637287992,2.0097183471152322e-14
BJS,B00107,way/16060,way/637271120,1.5888218580782548e-14
BJS,B00108,way/4400,way/312056691,1.5888218580782548e-14
BJS,B00109,way/17165,way/638714873,1.5888218580782548e-14
BJS,B00110,way/17127,way/638714820,7.105427357601002e-15
BJS,B00111,way/30660,way/1498792085,7.105427357601002e-15
BJS,B00112,way/10135,way/479285345,1.5888218580782548e-14
BJS,B00113,way/10333,way/479291529,1.5888218580782548e-14
BJS,B00114,way/21409,way/764628524,1.5888218580782548e-14
BJS,B00115,way/21868,way/889490948,1.5888218580782548e-14
BJS,B00116,way/16089,way/637271179,1.4210854715202004e-14
BJS,B00117,way/18211,way/681831257,1.4210854715202004e-14
BJS,B00118,way/18186,way/681798942,2.0097183471152322e-14
BJS,B00119,way/30481,way/1470161262,1.5888218580782548e-14
BJS,B00120,way/17025,way/638714705,2.0097183471152322e-14
BJS,B00121,way/11360,way/520616800,1.5888218580782548e-14
BJS,B00122,way/11485,way/520616961,1.5888218580782548e-14
BJS,B00123,way/10080,way/479274558,1.5888218580782548e-14
BJS,B00124,way/9923,way/479265434,1.4210854715202004e-14
BJS,B00125,way/15598,way/637263546,1.5888218580782548e-14
BJS,B00126,way/16108,way/637287593,1.5888218580782548e-14
BJS,B00127,way/28516,way/1318120863,1.5888218580782548e-14
BJS,B00128,way/6793,way/442376596,1.5888218580782548e-14
BJS,B00129,way/22854,way/908425764,1.5888218580782548e-14
BJS,B00130,way/25346,way/1066714091,1.4210854715202004e-14
BJS,B00131,way/29068,way/1318861940,1.4210854715202004e-14
BJS,B00132,way/11025,way/519900984,1.4210854715202004e-14
BJS,B00133,way/8314,way/477923958,1.4210854715202004e-14
BJS,B00134,way/8784,way/478341979,1.4210854715202004e-14
BJS,B00135,way/25371,way/1070969829,1.4210854715202004e-14
BJS,B00136,way/28387,way/1318112386,1.5888218580782548e-14
BJS,B00137,way/28324,way/1318108288,1.5888218580782548e-14
BJS,B00138,way/13254,way/567892296,2.0097183471152322e-14
BJS,B00139,way/19096,way/736366681,1.4210854715202004e-14
BJS,B00140,way/25705,way/1170760329,1.4210854715202004e-14
BJS,B00141,way/4117,way/297704833,1.4210854715202004e-14
BJS,B00142,way/12640,way/525967851,1.5888218580782548e-14
BJS,B00143,way/21942,way/893282205,1.4210854715202004e-14
BJS,B00144,way/30253,way/1463271056,1.4210854715202004e-14
BJS,B00145,way/15226,way/637237439,1.4210854715202004e-14
BJS,B00146,way/16484,way/638283335,1.4210854715202004e-14
BJS,B00147,way/1509,way/151990734,1.4210854715202004e-14
BJS,B00148,way/16644,way/638294681,1.5888218580782548e-14
BJS,B00149,way/31243,way/1527476446,1.5888218580782548e-14
BJS,B00150,way/24451,way/1016346975,2.0097183471152322e-14
BJS,B00151,way/12874,way/525991173,1.4210854715202004e-14
BJS,B00152,way/2914,way/257205542,1.4210854715202004e-14
BJS,B00153,way/8028,way/477732140,2.0097183471152322e-14
BJS,B00154,way/21575,way/838496661,1.4210854715202004e-14
BJS,B00155,way/15329,way/637237580,1.5888218580782548e-14
BJS,B00156,way/5821,way/371402232,1.4210854715202004e-14
BJS,B00157,way/19548,way/764434376,7.105427357601002e-15
BJS,B00158,way/4131,way/297808755,1.5888218580782548e-14
BJS,B00159,way/30901,way/1517309714,1.5888218580782548e-14
